sample_id,lab_nr,density,odor_after,oder_before,foam,foam_height,ph,ec,ts_%,ts_gL,ts_expert,texture_cat,vs_%ts,ts_dewatered,dewatering_efficiency,cod_mg,cod,nh4_mg,nh4,cst,cst_norm,turbidity,TOC,TOC_gL,TKN,TKN_gL,CN,COD_TKN,COD_NH4,TOC_NH4,bulk_H,bulk_S,bulk_V,bulk_R,bulk_G,bulk_B,bulk_hex,super_H,super_S,super_V,super_R,super_G,super_B,super_hex,bulk_color,super_color,contrast,dissimilarity,homogeneity,ASM,energy,correlation,tank_depth,depth_probe,oss_l,oss_w,sludgeheight_st,settledsludge_st,dist2sludge,area_volaser,area,ratio_outvol,area_lw,oss_volume,fs_volume,fs_acc,sb_vol,sb_acc,local_area_name,origin,other,origin_simplified,establishment,nr_residents,building_type,,addl,roof_type,other1,addl2,occupation,education,other2,income,oss_type,oss_type_simplified,other3,baffle,outflow,outflow_to,toilet_type,toilet_type_simplified,nr_users,oss_age,cleansing_material,solid_waste,sw_type,additives,ww_type,seasonal,water_connection,last_emptied,fully_emptied,latitude,longitude,gps_acc,dewatered
001.B.2019.09.19-1,1,NA,Stabilized,NA,Yes,0,7.732,5.16,4.29,NA,low,liquid,NA,NA,NA,NA,NA,600,0.6,345.4,80.4,371,NA,NA,NA,NA,NA,NA,NA,NA,52,32,10,10,9.573333333,6.8,#1a1811,52,43,80,80,75.41333333,45.6,#ccc074,stabilized,middle,0.337018392,0.074940502,0.971106521,0.831038116,0.91161292,0.247540408,320,45,NA,NA,NA,42,0.46,2.762534713,2.762534713,NA,NA,8.840111083,1.243140621,62.15703105,1.16026458,58.01322898,Misisi,Household,NA,Household,5 tenants ,16,Cement block walls,NA,All use same facility ,Corrugated iron,NA,NA,Transportation business,Secondary education,NA,501-1000 ZMK,Septic tank,Septic tank,NA,No,No,NA,Pour-flush,wet,20,1,Paper,No,NA,No,Toilet,I don't know,No,Never emptied,System has never been emptied,-15.43,28.28,4.9,yes
001.B.2019.09.19-2,2,NA,Stabilized,NA,Yes,4,7.728,5.21,3.93,NA,low,liquid,NA,NA,NA,NA,NA,400,0.4,350.5,89.2,419,NA,NA,NA,NA,NA,NA,NA,NA,60,56,13,13,13,5.72,#21210f,54,38,89,89,85.618,55.18,#e3da8d,stabilized,middle,0.164940766,0.164186732,0.917982037,0.578311386,0.760467873,0.423870072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
002.B.2019.09.19,3,NA,Middle,NA,No,0,7.947,13.41,12.93,NA,NA,NA,NA,NA,NA,NA,NA,2600,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,108,NA,NA,NA,NA,0.55,1.610938928,1.610938928,NA,NA,2.496955339,1.610938928,402.7347321,NA,NA,Misisi,Household,NA,Household,Number of houses,20,Cement block walls,NA,NA,Asbestos,NA,A few iron sheets on sides,Business,Primary education,NA,1001-2000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Pour-flush,wet,20,10,Paper,Yes,"Plastic bottles, and plastics",No,Toilet,Yes,Yes,0.1,No,-15.43408174,28.2819783,4.9,NA
003.B.2019.09.19,4,NA,Stabilized,NA,Yes,2,7.92,1.174,0.29,NA,low,flocs,NA,NA,NA,NA,NA,40,0.04,10.4,36.4,50.1,NA,NA,NA,NA,NA,NA,NA,NA,50,44,47,47,43.55333333,26.32,#786f43,72,2,86,85.656,86,84.28,#dadbd7,stabilized,stabilized,1.08849932,0.526375976,0.7702659,0.040001467,0.200003667,0.950492307,210,145,NA,NA,NA,NA,0.42,2.734248631,2.734248631,NA,NA,5.741922126,4.5935377,229.676885,NA,NA,Ibex Hill,Household,NA,Household,NA,5,Cement block walls,NA,NA,Corrugated iron,NA,NA,Accountant,Postgraduate education or higher,NA,>2000 ZMK,Septic tank,Septic tank,NA,No,No,NA,Cistern flush,wet,5,4,Paper,No,NA,No ,Toilet Bathing Laundry Kitchen,I don't know,Yes,Never emptied,System has never been emptied,-15.42081732,28.36462592,4.9,yes
005.B.2019.09.24,5,NA,Stabilized,NA,No,0,8.044,19.94,NA,NA,high,textured,NA,NA,NA,NA,NA,3017,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,13,15,14.61,15,13.05,#252621,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,4.104867573,0.778428713,0.774295324,0.172617983,0.415473204,0.724265541,135,13,NA,NA,NA,NA,1.13,1.231546397,1.231546397,NA,NA,1.662587637,0.270940207,2.276808466,NA,NA,Mtendere,Household,NA,Household,NA,17,Cement block walls,NA,NA,Asbestos,NA,NA,Plumber,Secondary education,NA,1001-2000 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,17,7,Paper,No,NA,Ash,Kitchen Laundry,No,Yes,Never emptied,System has never been emptied,-15.40740338,28.35467084,4.9,no
006.B.2019.09.24,6,NA,Stabilized,NA,Yes,10,7.747,1.1849,NA,NA,low,liquid,NA,NA,NA,NA,NA,40,0.04,12.8,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,39,43,31,31,26.3345,17.67,#4f432d,0,0,100,100,100,100,#ffffff,stabilized,stabilized,0.288638242,0.266656001,0.868369897,0.148461649,0.385307214,0.920757197,235,NA,NA,NA,NA,170,NA,3.839139647,3.839139647,NA,NA,9.021978172,6.526537401,203.9542938,6.526537401,203.9542938,Kabulonga,Household,NA,Household,NA,10,Cement block walls,NA,NA,Roof tiles,NA,NA,Business lady,Tertiary education,NA,>2000 ZMK,Septic tank,Septic tank,NA,I don't kNow,No,NA,Cistern flush,wet,8,5,Paper,No,NA,No,Toilet Bathing Laundry Kitchen,No,Yes,4,Yes,-15.41310916,28.34256286,4.9,yes
007.B.2019.09.24,7,NA,Stabilized,NA,Yes,0,7.544,1.578,NA,NA,middle,liquid,NA,NA,NA,NA,NA,727,0.73,123.4,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,60,14,14,14,14,12.04,#24241f,0,0,100,100,100,100,#ffffff,stabilized,stabilized,1.039533616,0.328890813,0.864859731,0.411253457,0.641290462,0.528042924,140,70,NA,NA,NA,57,0.63,2.596939124,3.895408686,NA,NA,5.453572161,2.72678608,28.70301137,2.220382951,23.37245212,Kabulonga,Household,NA,Household,NA,16,Cement block walls,NA,NA,Metal sheets,NA,NA,Retired,Tertiary education,NA,I don't kNow,Septic tank,Septic tank,NA,Yes,No,NA,Cistern flush,wet,19,13,Paper,No,NA,Biadditives,Toilet Bathing Kitchen,No,Yes,5,Yes,-15.41548709,28.34926101,4.9,yes
008.B.2019.09.24,8,NA,Stabilized,NA,Yes,10,7.577,1.144,NA,NA,low,liquid,NA,NA,NA,NA,NA,551,0.55,40.3,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,72,13,15,14.61,15,13.05,#252621,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,0.346996685,0.278267873,0.86572969,0.253060564,0.503051254,0.76255341,230,150,NA,NA,NA,78,NA,4.723772469,4.723772469,NA,NA,10.86467668,7.085658703,40.25942445,3.684542526,41.86980143,Kabulonga,Household,NA,Household,NA,3,Cement block walls,NA,NA,Asbestos,NA,NA,Retired,Tertiary education,NA,I don't kNow,Septic tank,Septic tank,NA,I don't kNow,I don't kNow,NA,Cistern flush,wet,4,22,Paper,No,NA,No,Kitchen Laundry Bathing Toilet,I don't know,Yes,I don't know,I don't kNow,-15.41952745,28.3508269,4.9,no
009.B.2019.09.24,9,NA,Stabilized,NA,No,0,7.784,13.64,NA,NA,high,textured,NA,NA,NA,NA,NA,2745,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,41,31,31,29.30533333,18.29,#4f4b2f,NA,NA,NA,NA,NA,NA,NA,middle,NA,3.595752551,0.819995748,0.716695272,0.080798538,0.284250836,0.781388648,150,75,NA,NA,NA,NA,0.67,0.804314887,0.804314887,NA,NA,1.20647233,0.603236165,2.393794306,NA,NA,Kamanda,Household,NA,Household,NA,8,Cement block walls,NA,NA,Metal sheets,NA,NA,Self employed,Primary education,NA,0-500 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,21,6,Paper,No,NA,Ash,Laundry,I don't know,No,Never emptied,No,-15.43785131,28.37576537,4.9,no
001.A.2019.09.24,10,NA,Middle,NA,Yes,15,7.956,6.89,NA,NA,low,liquid,NA,NA,NA,NA,NA,811,0.81,262.4,NA,499,NA,NA,NA,NA,NA,NA,NA,NA,69,16,17,16.592,17,14.28,#2a2b24,42,58,94,94,77.644,39.48,#f0c665,stabilized,middle,0.543089817,0.328133363,0.847967955,0.310947433,0.557626607,0.723164793,227,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New chibolya,Household,NA,Household,5 flats using the same toilet,18,Cement block walls,NA,Three toilets serviced by the one septic tank,Corrugated iron,NA,Iron Sheets have been nailed with metals on top,Business,Secondary education,NA,1001-2000 ZMK,Septic tank,Septic tank,NA,No,Yes,Soak pit,Pour-flush,wet,18,5,Paper,No,NA,Adds some chemicals to avoid smells,Toilet,No,Yes,Never emptied,System has never been emptied,-15.43477934,28.27311272,4.9,yes
